,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
0,A T Still University of Health Sciences,40,70,125,18,0,MO,1,2,2,2,33,2,22,34,71,20,50,431,43,0,44,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1,Aaniiih Nakoda College,0,0,0,14,0,MT,1,1,2,1,43,1,22,34,71,3,21,14,3,3,4,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,1,1,White,White,White,455,625,502,661,22,22,23,27,22,24
2,Abilene Christian University,68,77,60,30,0,TX,1,2,2,2,12,3,53,64,66,20,66,318,0,5,28,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
3,Abraham Baldwin Agricultural College,26,38,47,4,27,GA,1,1,2,2,32,2,16,30,33,42,29,155,0,1,46,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,45,7,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
4,Abraham Lincoln University,166,182,201,56,19,CA,1,3,2,2,12,1,22,34,71,20,50,14,0,0,9,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,45,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
5,Academy College,166,182,201,56,19,MN,1,3,2,2,13,1,22,34,71,20,50,8,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
6,Academy for Five Element Acupuncture,166,182,201,56,19,FL,1,2,2,2,12,1,22,34,71,20,50,0,0,1,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,22,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
7,Academy for Jewish Religion-California,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,1,0,0,0,1,1,-2,A,1,1,1,2346,4333,6679,3855,6679,10534,313,546,859,76,64,13,1.0,1,1,1,0,White,White,White,510,620,500,600,21,27,20,28,18,26
8,Academy of Art University,0,0,0,0,0,CA,1,3,2,2,11,3,7,35,45,17,47,402,0,0,170,1,1,-2,A,1,1,1,716,1110,1826,913,1490,2403,372,562,934,74,48,19,1.0,1,0,0,0,White,Asian,White,460,570,440,530,16,21,14,20,16,20
9,Academy of Chinese Culture and Health Sciences,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,9,0,6,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,1.0,1,1,1,1,White,White,Asian,455,625,502,661,22,22,23,27,22,24
