instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
A T Still University of Health Sciences,40,70,125,18,0,MO,1,2,2,2,33,2,,,,,,,,,1,15,15,0,7,10,54,5,3,5,41,59,0,,,,,,741,315,0,0,,,,,,,,431,43,0,474,14,44,85,58,47,18,14,289,77,0,190,20,2,4,0,83,3,,,,,,,,,,,,
Aaniiih Nakoda College,0,0,0,14,0,MT,1,1,2,1,43,1,,,,,,,,,88,0,0,0,0,0,12,0,0,0,0,0,100,100,0,0,,,0,0,0,32,31,8,,,,3,21,14,3,3,20,1,4,10,2,2,0,0,11,4,1,6,0,0,99,1,0,0,,,,,,,,,,,,
Abilene Christian University,68,77,60,30,0,TX,1,2,2,2,12,3,63,61,65,13,13,13,,,0,1,1,0,14,20,56,2,3,4,30,12,58,87,10,3,76,64,55,395,768,4,64,67,53,64,66,,66,318,0,5,323,3,28,81,46,33,97,6,271,48,0,207,16,0,38,7,36,13,50,43,510,620,500,600,21,27,20,28,18,26
Abraham Baldwin Agricultural College,26,38,47,4,27,GA,1,1,2,2,32,2,76,78,74,51,52,51,78,12,0,1,1,0,10,8,78,0,1,1,14,69,16,89,11,0,74,48,0,0,331,381,29,30,16,30,33,42,29,155,0,1,156,3,46,61,18,10,8,4,102,52,0,50,0,0,7,0,65,18,36,26,460,570,440,530,16,21,14,20,16,20
Abraham Lincoln University,,,,,,CA,1,3,2,2,12,1,,,,,,,18,81,1,8,8,0,12,21,31,22,1,5,100,0,0,67,33,0,,,15,11,2,3,,,,,,,,14,0,0,14,0,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Academy College,,,,,,MN,1,3,2,2,13,1,,,,,,,44,55,1,5,4,1,5,4,63,16,1,4,1,97,2,100,0,0,100,,0,0,10,4,,,,,,,,8,0,0,8,0,0,1,0,0,0,0,4,0,0,4,0,0,7,0,90,0,,,,,,,,,,,,
Academy for Five Element Acupuncture,,,,,,FL,1,2,2,2,12,1,,,,,,,,,1,5,5,0,4,4,77,5,0,2,0,100,0,,,,,,0,24,0,0,,,,,,,,0,0,1,1,1,0,6,2,0,0,0,1,0,0,1,0,0,98,1,0,0,,,,,,,,,,,,
Academy for Jewish Religion-California,,,,,,CA,1,2,2,2,11,1,,,,,,,,,0,0,0,0,5,2,93,0,0,0,0,0,100,,,,,,0,8,0,0,,,,,,,,1,0,0,1,0,0,7,1,0,0,0,1,0,0,1,0,0,31,0,69,0,,,,,,,,,,,,
Academy of Art University,0,0,0,0,0,CA,1,3,2,2,11,3,,,,,,,56,43,0,5,4,0,7,10,16,33,27,3,55,33,12,29,62,8,70,44,0,1029,958,157,39,53,7,35,45,17,47,402,0,0,402,8,170,140,78,38,114,0,164,36,3,83,4,38,67,9,23,0,,,,,,,,,,,,
Academy of Chinese Culture and Health Sciences,,,,,,CA,1,2,2,2,11,1,,,,,,,,,2,44,44,0,2,6,44,0,1,0,0,0,100,,,,,,0,12,0,0,,,,,,,,9,0,6,15,0,0,3,0,0,0,0,6,0,0,6,0,0,75,0,24,0,,,,,,,,,,,,
Acupuncture and Massage College,,,,,,FL,1,3,2,2,13,1,,,,,,,,,1,5,5,0,9,57,24,0,1,3,0,0,100,100,0,0,3,,0,26,0,17,71,83,0,0,0,,77,11,0,0,11,0,0,3,2,0,0,0,8,0,2,5,1,0,95,3,0,0,,,,,,,,,,,,
Adams State University,18,10,16,0,0,CO,1,1,2,2,33,2,100,100,100,21,25,17,68,23,1,2,1,1,6,27,53,8,1,3,37,19,44,61,37,1,59,27,3,353,325,270,26,40,14,28,31,22,32,136,0,0,136,4,47,28,21,17,42,2,83,34,0,35,9,5,60,2,17,4,72,32,450,550,440,540,17,22,15,22,17,21
Adelphi University,95,130,63,8,19,NY,1,2,2,2,21,3,75,69,77,9,9,9,88,8,0,10,10,0,11,17,47,6,6,3,29,66,4,85,10,4,82,50,34,1078,1348,42,71,73,62,71,72,21,73,563,0,0,563,2,69,154,48,45,103,14,279,88,1,156,30,4,47,0,33,8,81,20,530,620,530,630,21,27,21,27,20,27
Adler Graduate School,0,0,0,14,0,MN,1,2,2,2,13,1,,,,,,,,,1,4,4,0,10,2,82,0,0,0,100,0,0,,,,,,0,125,0,0,,,,,,,,26,0,0,26,1,0,1,5,2,0,0,5,0,0,5,0,0,7,0,92,0,,,,,,,,,,,,
Adler University,14,16,23,1,0,IL,1,2,2,2,11,2,,,,,,,,,1,9,9,0,11,10,51,15,1,3,25,6,69,,,,,,93,375,0,0,,,,,,,,65,0,0,65,5,16,51,14,8,32,0,14,3,0,11,0,0,7,0,66,2,,,,,,,,,,,,
