institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
A Better U Beauty Barber Academy,White,Asian,White
A T Still University of Health Sciences,White,White,White
Aaniiih Nakoda College,White,Asian,White
ABC Adult School,White,Asian,White
ABC Beauty Academy,White,Asian,White
ABCO Technology,White,Asian,White
Abcott Institute,White,Asian,White
Abilene Christian University,White,White,White
Abraham Baldwin Agricultural College,White,Asian,White
Abraham Lincoln University,White,White,Asian
Academia Serrant Inc,White,Asian,White
Academy College,White,Asian,White
Academy Di Capelli-School of Cosmetology,White,Asian,White
Academy di Firenze,White,Asian,White
Academy for Careers and Technology,White,Asian,White
Academy for Five Element Acupuncture,White,White,White
Academy for Jewish Religion-California,White,White,White
Academy for Nursing and Health Occupations,White,Asian,White
Academy for Salon Professionals,White,Asian,White
Academy of Art University,UnknownEthnicity,UnknownEthnicity,White
Academy of Career Training,White,Asian,White
Academy of Careers and Technology,White,Asian,White
Academy of Chinese Culture and Health Sciences,White,White,Asian
Academy of Cosmetology,White,Asian,White
Academy of Cosmetology and Esthetics NYC,White,Asian,White
Academy of Cosmetology Inc,White,Asian,White
Academy of Esthetics and Cosmetology,White,Asian,White
Academy of Hair Design-Grenada,White,Asian,White
Academy of Hair Design-Jackson,White,Asian,White
Academy of Hair Design-Jasper,White,Asian,White
Academy of Hair Design-Las Vegas,White,Asian,White
Academy of Hair Design-Lufkin,White,Asian,White
Academy of Hair Design-Oklahoma City,White,Asian,White
Academy of Hair Design-Pearl,White,Asian,White
Academy of Hair Design-Springfield,White,Asian,White
Academy of Hair Technology,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Interactive Entertainment,White,Asian,White
Academy of Massage and Bodywork,White,Asian,White
Academy of Natural Therapy Inc,White,Asian,White
Academy of Professional Cosmetology,White,Asian,White
Academy of Salon and Spa,White,Asian,White
Academy of Salon Professionals,White,Asian,White
Academy of Vocal Arts,White,Asian,White
Acaydia School of Aesthetics,White,Asian,White
Access Careers,White,Asian,White
Access Careers-Islandia,White,Asian,White
Ace Cosmetology and Barber Training Center,White,Asian,White
Ace Institute of Technology,White,Asian,White
Acupuncture and Integrative Medicine College-Berkeley,White,White,White
Acupuncture and Massage College,Asian,Hispanic,White
Adams State University,White,White,White
Adelphi University,White,White,White
Adler Graduate School,White,White,White
Adler University,White,White,White
Adrian College,White,White,White
Adrian H. Wallace Barber Academy,White,Asian,White
Adrian's College of Beauty Turlock,White,Asian,White
Adult and Community Education-Hudson,White,Asian,White
Adult and Continuing Education-BCTS,White,Asian,White
Advance Beauty College,White,Asian,White
Advance Beauty Techs Academy,White,Asian,White
Advance Science International College,White,Asian,White
Advanced Barber College and Hair Design,White,Asian,White
Advanced Beauty College,White,Asian,White
Advanced Career Institute,White,Asian,White
Advanced College,White,Asian,White
Advanced College of Cosmetology,White,Asian,White
Albion College,White,Asian,White
Advanced Technology Institute,White,Asian,White
Advanced Training Institute,White,Asian,White
Advanced Welding Institute,White,Asian,White
Advantage Career Institute,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College,White,Asian,White
Advantage Technical College-Aguadilla,White,Asian,White
AdventHealth University,White,White,White
Aesthetic Science Institute,White,Asian,White
Agnes Scott College,White,Black,White
AI Miami International University of Art and Design,Hispanic,Hispanic,White
Aiken School of Cosmetology and Barbering,White,Asian,White
Aiken Technical College,White,Asian,White
Aims Community College,White,Asian,White
Air Force Institute of Technology-Graduate School of Engineering & Management,White,White,White
Alabama A & M University,Black,Black,Black
Alabama College of Osteopathic Medicine,White,Asian,White
Alabama School of Nail Technology & Cosmetology,White,Asian,White
Alabama State College of Barber Styling,White,Asian,White
Alabama State University,Black,Black,Black
Alamance Community College,White,Asian,White
Alamo City Barber College,White,Asian,White
Alamo Community College District Central Office,White,Asian,White
Alaska Bible College,White,Asian,White
Alaska Career College,White,Asian,White
Alaska Christian College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
Alaska Pacific University,White,White,White
Alaska Vocational Technical Center,White,Asian,White
Albany BOCES-Adult Practical Nursing Program,White,Asian,White
Albany College of Pharmacy and Health Sciences,White,White,White
Albany Law School,White,White,White
Albany Medical College,White,White,White
Albany State University,Black,Black,White
Albany Technical College,White,Asian,White
Albert Einstein College of Medicine,White,White,White
Albertus Magnus College,White,Black,White
Albizu University-Miami,Hispanic,Hispanic,Hispanic
Albizu University-San Juan,Hispanic,Hispanic,Hispanic
Albright College,White,White,White
Alcorn State University,Black,Black,White
Alder Graduate School of Education,White,Asian,White
All-State Career School,White,Asian,White
Alderson Broaddus University,White,White,White
Alexander Academy,White,Asian,White
Alexander Paul Institute of Hair Design,White,Asian,White
Alexandria School of Scientific Therapeutics,White,Asian,White
Alexandria Technical & Community College,White,Asian,White
Alfred University,White,White,White
Alhambra Beauty College,White,Asian,White
Alhambra Medical University,White,Asian,White
Alice Lloyd College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All Beauty College,White,Asian,White
All-State Career School-Pittsburgh,White,Asian,White
All-State Career-Baltimore,White,Asian,White
Allan Hancock College,White,Asian,White
Allegany College of Maryland,White,Asian,White
Allegheny College,White,Asian,White
Allegheny Wesleyan College,White,Asian,White
Allen College,White,White,White
Allen County Community College,White,Asian,White
Allen School-Brooklyn,White,Asian,White
Allen School-Jamaica,White,Asian,White
Allen School-Phoenix,White,Asian,White
Allen University,Black,Black,White
Allgood Beauty Institute,White,Asian,White
Alliance Career Center,White,Asian,White
Alliance Computing Solutions,White,Asian,White
Alliant International University-San Diego,White,White,White
Allied Health Careers Institute,White,Asian,White
Allstate Hairstyling & Barber College,White,Asian,White
Alma College,White,Asian,White
Alpena Community College,White,Asian,White
Altierus Career College-Bissonnet,White,Asian,White
Altierus Career College-Norcross,White,Asian,White
Altierus Career College-Tampa,White,Asian,White
Altoona Beauty School Inc,White,Asian,White
Altura College,White,Asian,White
Alvernia University,White,White,White
Alverno College,White,White,White
Alvin Community College,White,Asian,White
Amarillo College,White,Asian,White
Amberton University,White,White,White
Ambria College of Nursing,Asian,Asian,White
America Evangelical University,Asian,Asian,Asian
American Academy McAllister Institute of Funeral Service,White,Asian,White
American Academy of Acupuncture and Oriental Medicine,White,White,White
American Academy of Art,White,Asian,White
American Academy of Cosmetology,White,Asian,White
