institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
A Better U Beauty Barber Academy,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,-2,-2,-2,-2
A T Still University of Health Sciences,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Aaniiih Nakoda College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,1,1,0,0,0
ABC Adult School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,45,7,0,-2,-2,-2,-2
ABC Beauty Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,45,12,0,-2,-2,-2,-2
ABCO Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0,-2,-2,-2,-2
Abcott Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,22,45,10,0,-2,-2,-2,-2
Abilene Christian University,1,1,-2,A,1,1,1,2346,4333,6679,3855,6679,10534,313,546,859,76,64,13,1,1,1,1,0
Abraham Baldwin Agricultural College,1,1,-2,A,1,1,1,716,1110,1826,913,1490,2403,372,562,934,74,48,19,1,1,0,0,0
Abraham Lincoln University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,1,1,1,1,1
Academia Serrant Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,20,0,-2,-2,-2,-2
Academy College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,11,1,1,0,0,0
Academy Di Capelli-School of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,28,5,8,0,-2,-2,-2,-2
Academy di Firenze,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,0,8,0,-2,-2,-2,-2
Academy for Careers and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,45,10,0,-2,-2,-2,-2
Academy for Five Element Acupuncture,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Academy for Jewish Religion-California,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Academy for Nursing and Health Occupations,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,36,1,0,0,0,0
Academy for Salon Professionals,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,75,13,0,-2,-2,-2,-2
Academy of Art University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,44,14,1,1,1,0,0
Academy of Career Training,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,80,13,0,-2,-2,-2,-2
Academy of Careers and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,71,14,0,-2,-2,-2,-2
Academy of Chinese Culture and Health Sciences,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Academy of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,30,45,16,0,-2,-2,-2,-2
Academy of Cosmetology and Esthetics NYC,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,10,0,-2,-2,-2,-2
Academy of Cosmetology Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,45,17,0,-2,-2,-2,-2
Academy of Esthetics and Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,25,0,-2,-2,-2,-2
Academy of Hair Design-Grenada,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,15,0,-2,-2,-2,-2
Academy of Hair Design-Jackson,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,100,15,0,-2,-2,-2,-2
Academy of Hair Design-Jasper,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,29,13,12,0,-2,-2,-2,-2
Academy of Hair Design-Las Vegas,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,45,10,0,-2,-2,-2,-2
Academy of Hair Design-Lufkin,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,33,26,10,0,-2,-2,-2,-2
Academy of Hair Design-Oklahoma City,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,14,0,-2,-2,-2,-2
Academy of Hair Design-Pearl,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,50,10,0,-2,-2,-2,-2
Academy of Hair Design-Springfield,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,49,20,15,0,-2,-2,-2,-2
Academy of Hair Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,78,14,0,-2,-2,-2,-2
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,1,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,0,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,1,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,53,13,66,58,14,72,34,7,41,85,45,27,0,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,1,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,0,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,1,0,0,0,0
Academy of Interactive Entertainment,1,1,-2,A,1,1,1,67,28,95,74,30,104,36,12,48,79,45,22,0,0,0,0,0
Academy of Massage and Bodywork,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,8,0,-2,-2,-2,-2
Academy of Natural Therapy Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,9,0,-2,-2,-2,-2
Academy of Professional Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,30,0,-2,-2,-2,-2
Academy of Salon and Spa,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,45,20,0,-2,-2,-2,-2
Academy of Salon Professionals,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,15,0,-2,-2,-2,-2
Academy of Vocal Arts,1,1,4,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,0
Acaydia School of Aesthetics,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,96,100,10,0,-2,-2,-2,-2
Access Careers,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,93,94,20,0,-2,-2,-2,-2
Access Careers-Islandia,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,90,13,0,-2,-2,-2,-2
Ace Cosmetology and Barber Training Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,21,24,15,0,-2,-2,-2,-2
Ace Institute of Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,45,11,0,0,0,0,0
Acupuncture and Integrative Medicine College-Berkeley,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Acupuncture and Massage College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,3,45,24,1,1,1,0,0
Adams State University,1,1,-2,A,1,1,1,727,961,1688,728,962,1690,180,168,348,59,27,13,1,1,1,1,0
Adelphi University,1,1,-2,A,1,1,1,3569,7868,11437,5149,10180,15329,327,669,996,82,50,12,1,1,1,1,1
Adler Graduate School,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Adler University,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Adrian College,1,1,-2,A,1,1,1,1528,1189,2717,2558,1881,4439,292,246,538,66,0,14,1,1,1,0,0
Adrian H. Wallace Barber Academy,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,10,0,-2,-2,-2,-2
Adrian's College of Beauty Turlock,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,10,0,-2,-2,-2,-2
Adult and Community Education-Hudson,1,1,-2,A,1,1,1,2,6,8,2,7,9,2,6,8,83,45,9,0,-2,-2,-2,-2
Adult and Continuing Education-BCTS,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,45,15,0,-2,-2,-2,-2
Advance Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,94,87,30,0,-2,-2,-2,-2
Advance Beauty Techs Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,76,45,20,0,-2,-2,-2,-2
Advance Science International College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,15,1,0,0,0,0
Advanced Barber College and Hair Design,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,78,20,0,-2,-2,-2,-2
Advanced Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,4,0,-2,-2,-2,-2
Advanced Career Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0,-2,-2,-2,-2
Advanced College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,100,6,1,0,0,0,0
Advanced College of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,5,0,-2,-2,-2,-2
Albion College,1,1,-2,A,1,1,1,1497,2001,3498,2140,2559,4699,237,241,478,73,45,12,0,1,0,0,0
Advanced Technology Institute,1,1,-2,A,1,1,1,191,20,211,266,36,302,129,11,140,66,45,14,1,0,0,0,0
Advanced Training Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,81,10,0,-2,-2,-2,-2
Advanced Welding Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,11,0,-2,-2,-2,-2
Advantage Career Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,18,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,63,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,63,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,63,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,63,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,48,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,48,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,48,0,-2,-2,-2,-2
Advantage Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,48,0,-2,-2,-2,-2
Advantage Technical College-Aguadilla,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,42,0,-2,-2,-2,-2
AdventHealth University,1,1,-2,A,1,1,1,41,198,239,46,217,263,19,80,99,80,29,7,1,1,1,0,1
Aesthetic Science Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,56,16,0,-2,-2,-2,-2
Agnes Scott College,1,1,-2,A,1,1,1,589,1241,1241,0,1838,1838,814,274,274,83,45,11,0,1,1,0,0
AI Miami International University of Art and Design,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,37,17,1,1,1,0,0
Aiken School of Cosmetology and Barbering,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,20,0,-2,-2,-2,-2
Aiken Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,34,11,1,0,0,0,0
Aims Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,34,15,1,0,0,0,0
Air Force Institute of Technology-Graduate School of Engineering & Management,0,2,-2,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Alabama A & M University,1,1,-2,A,1,1,1,2947,5888,8835,3394,6461,9855,676,988,1664,54,33,18,0,1,1,1,0
Alabama College of Osteopathic Medicine,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,1
Alabama School of Nail Technology & Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,20,0,-2,-2,-2,-2
Alabama State College of Barber Styling,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,6,0,-2,-2,-2,-2
Alabama State University,1,1,-2,A,1,1,1,2188,4724,6948,2226,4763,7027,347,628,975,62,5,15,0,1,1,1,1
Alamance Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,50,14,1,0,0,0,0
Alamo City Barber College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,44,45,25,0,-2,-2,-2,-2
Alamo Community College District Central Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Alaska Bible College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,0,6,1,1,0,0,0
