institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
A Better U Beauty Barber Academy,455,625,502,661,22,22,23,27,22,24
A T Still University of Health Sciences,455,625,502,661,22,22,23,27,22,24
Aaniiih Nakoda College,455,625,502,661,22,22,23,27,22,24
ABC Adult School,455,625,502,661,22,22,23,27,22,24
ABC Beauty Academy,455,625,502,661,22,22,23,27,22,24
ABCO Technology,455,625,502,661,22,22,23,27,22,24
Abcott Institute,455,625,502,661,22,22,23,27,22,24
Abilene Christian University,510,620,500,600,21,27,20,28,18,26
Abraham Baldwin Agricultural College,460,570,440,530,16,21,14,20,16,20
Abraham Lincoln University,455,625,502,661,22,22,23,27,22,24
Academia Serrant Inc,455,625,502,661,22,22,23,27,22,24
Academy College,455,625,502,661,22,22,23,27,22,24
Academy Di Capelli-School of Cosmetology,455,625,502,661,22,22,23,27,22,24
Academy di Firenze,455,625,502,661,22,22,23,27,22,24
Academy for Careers and Technology,455,625,502,661,22,22,23,27,22,24
Academy for Five Element Acupuncture,455,625,502,661,22,22,23,27,22,24
Academy for Jewish Religion-California,455,625,502,661,22,22,23,27,22,24
Academy for Nursing and Health Occupations,455,625,502,661,22,22,23,27,22,24
Academy for Salon Professionals,455,625,502,661,22,22,23,27,22,24
Academy of Art University,455,625,502,661,22,22,23,27,22,24
Academy of Career Training,455,625,502,661,22,22,23,27,22,24
Academy of Careers and Technology,455,625,502,661,22,22,23,27,22,24
Academy of Chinese Culture and Health Sciences,455,625,502,661,22,22,23,27,22,24
Academy of Cosmetology,455,625,502,661,22,22,23,27,22,24
Academy of Cosmetology and Esthetics NYC,455,625,502,661,22,22,23,27,22,24
Academy of Cosmetology Inc,455,625,502,661,22,22,23,27,22,24
Academy of Esthetics and Cosmetology,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Grenada,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Jackson,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Jasper,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Las Vegas,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Lufkin,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Oklahoma City,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Pearl,455,625,502,661,22,22,23,27,22,24
Academy of Hair Design-Springfield,455,625,502,661,22,22,23,27,22,24
Academy of Hair Technology,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Interactive Entertainment,455,625,502,661,22,22,23,27,22,24
Academy of Massage and Bodywork,455,625,502,661,22,22,23,27,22,24
Academy of Natural Therapy Inc,455,625,502,661,22,22,23,27,22,24
Academy of Professional Cosmetology,455,625,502,661,22,22,23,27,22,24
Academy of Salon and Spa,455,625,502,661,22,22,23,27,22,24
Academy of Salon Professionals,455,625,502,661,22,22,23,27,22,24
Academy of Vocal Arts,455,625,502,661,22,22,23,27,22,24
Acaydia School of Aesthetics,455,625,502,661,22,22,23,27,22,24
Access Careers,455,625,502,661,22,22,23,27,22,24
Access Careers-Islandia,455,625,502,661,22,22,23,27,22,24
Ace Cosmetology and Barber Training Center,455,625,502,661,22,22,23,27,22,24
Ace Institute of Technology,455,625,502,661,22,22,23,27,22,24
Acupuncture and Integrative Medicine College-Berkeley,455,625,502,661,22,22,23,27,22,24
Acupuncture and Massage College,455,625,502,661,22,22,23,27,22,24
Adams State University,450,550,440,540,17,22,15,22,17,21
Adelphi University,530,620,530,630,21,27,21,27,20,27
Adler Graduate School,455,625,502,661,22,22,23,27,22,24
Adler University,455,625,502,661,22,22,23,27,22,24
Adrian College,460,570,467,550,19,25,17,24,18,26
Adrian H. Wallace Barber Academy,455,625,502,661,22,22,23,27,22,24
Adrian's College of Beauty Turlock,455,625,502,661,22,22,23,27,22,24
Adult and Community Education-Hudson,455,625,502,661,22,22,23,27,22,24
Adult and Continuing Education-BCTS,455,625,502,661,22,22,23,27,22,24
Advance Beauty College,455,625,502,661,22,22,23,27,22,24
Advance Beauty Techs Academy,455,625,502,661,22,22,23,27,22,24
Advance Science International College,455,625,502,661,22,22,23,27,22,24
Advanced Barber College and Hair Design,455,625,502,661,22,22,23,27,22,24
Advanced Beauty College,455,625,502,661,22,22,23,27,22,24
Advanced Career Institute,455,625,502,661,22,22,23,27,22,24
Advanced College,455,625,502,661,22,22,23,27,22,24
Advanced College of Cosmetology,455,625,502,661,22,22,23,27,22,24
Albion College,460,590,470,570,19,27,18,27,17,26
Advanced Technology Institute,455,625,502,661,22,22,23,27,22,24
Advanced Training Institute,455,625,502,661,22,22,23,27,22,24
Advanced Welding Institute,455,625,502,661,22,22,23,27,22,24
Advantage Career Institute,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
Advantage Technical College,455,625,502,661,22,22,23,27,22,24
