instnm,Institution (entity) name (HD2020),Grand total (C2020_A  Associate's degree  First major  Grand total),Grand total men (C2020_A  Associate's degree  First major  Grand total),Grand total women (C2020_A  Associate's degree  First major  Grand total),American Indian or Alaska Native total (C2020_A  Associate's degree  First major  Grand total),American Indian or Alaska Native men (C2020_A  Associate's degree  First major  Grand total),American Indian or Alaska Native women (C2020_A  Associate's degree  First major  Grand total),Asian total (C2020_A  Associate's degree  First major  Grand total),Asian men (C2020_A  Associate's degree  First major  Grand total),Asian women (C2020_A  Associate's degree  First major  Grand total),Black or African American total (C2020_A  Associate's degree  First major  Grand total),Black or African American men (C2020_A  Associate's degree  First major  Grand total),Black or African American women (C2020_A  Associate's degree  First major  Grand total),Hispanic or Latino total (C2020_A  Associate's degree  First major  Grand total),Hispanic or Latino men (C2020_A  Associate's degree  First major  Grand total),Hispanic or Latino women (C2020_A  Associate's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander total (C2020_A  Associate's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander men (C2020_A  Associate's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander women (C2020_A  Associate's degree  First major  Grand total),White total (C2020_A  Associate's degree  First major  Grand total),White men (C2020_A  Associate's degree  First major  Grand total),White women (C2020_A  Associate's degree  First major  Grand total),Two or more races total (C2020_A  Associate's degree  First major  Grand total),Two or more races men (C2020_A  Associate's degree  First major  Grand total),Two or more races women (C2020_A  Associate's degree  First major  Grand total),Race/ethnicity unknown total (C2020_A  Associate's degree  First major  Grand total),Race/ethnicity unknown men (C2020_A  Associate's degree  First major  Grand total),Race/ethnicity unknown women (C2020_A  Associate's degree  First major  Grand total),Nonresident alien total (C2020_A  Associate's degree  First major  Grand total),Nonresident alien men (C2020_A  Associate's degree  First major  Grand total),Nonresident alien women (C2020_A  Associate's degree  First major  Grand total),Grand total (C2020_A  Bachelor's degree  First major  Grand total),Grand total men (C2020_A  Bachelor's degree  First major  Grand total),Grand total women (C2020_A  Bachelor's degree  First major  Grand total),American Indian or Alaska Native total (C2020_A  Bachelor's degree  First major  Grand total),American Indian or Alaska Native men (C2020_A  Bachelor's degree  First major  Grand total),American Indian or Alaska Native women (C2020_A  Bachelor's degree  First major  Grand total),Asian total (C2020_A  Bachelor's degree  First major  Grand total),Asian men (C2020_A  Bachelor's degree  First major  Grand total),Asian women (C2020_A  Bachelor's degree  First major  Grand total),Black or African American total (C2020_A  Bachelor's degree  First major  Grand total),Black or African American men (C2020_A  Bachelor's degree  First major  Grand total),Black or African American women (C2020_A  Bachelor's degree  First major  Grand total),Hispanic or Latino total (C2020_A  Bachelor's degree  First major  Grand total),Hispanic or Latino men (C2020_A  Bachelor's degree  First major  Grand total),Hispanic or Latino women (C2020_A  Bachelor's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander total (C2020_A  Bachelor's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander men (C2020_A  Bachelor's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander women (C2020_A  Bachelor's degree  First major  Grand total),White total (C2020_A  Bachelor's degree  First major  Grand total),White men (C2020_A  Bachelor's degree  First major  Grand total),White women (C2020_A  Bachelor's degree  First major  Grand total),Two or more races total (C2020_A  Bachelor's degree  First major  Grand total),Two or more races men (C2020_A  Bachelor's degree  First major  Grand total),Two or more races women (C2020_A  Bachelor's degree  First major  Grand total),Race/ethnicity unknown total (C2020_A  Bachelor's degree  First major  Grand total),Race/ethnicity unknown men (C2020_A  Bachelor's degree  First major  Grand total),Race/ethnicity unknown women (C2020_A  Bachelor's degree  First major  Grand total),Nonresident alien total (C2020_A  Bachelor's degree  First major  Grand total),Nonresident alien men (C2020_A  Bachelor's degree  First major  Grand total),Nonresident alien women (C2020_A  Bachelor's degree  First major  Grand total),Grand total (C2020_A  Master's degree  First major  Grand total),Grand total men (C2020_A  Master's degree  First major  Grand total),Grand total women (C2020_A  Master's degree  First major  Grand total),American Indian or Alaska Native total (C2020_A  Master's degree  First major  Grand total),American Indian or Alaska Native men (C2020_A  Master's degree  First major  Grand total),American Indian or Alaska Native women (C2020_A  Master's degree  First major  Grand total),Asian total (C2020_A  Master's degree  First major  Grand total),Asian men (C2020_A  Master's degree  First major  Grand total),Asian women (C2020_A  Master's degree  First major  Grand total),Black or African American total (C2020_A  Master's degree  First major  Grand total),Black or African American men (C2020_A  Master's degree  First major  Grand total),Black or African American women (C2020_A  Master's degree  First major  Grand total),Hispanic or Latino total (C2020_A  Master's degree  First major  Grand total),Hispanic or Latino men (C2020_A  Master's degree  First major  Grand total),Hispanic or Latino women (C2020_A  Master's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander total (C2020_A  Master's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander men (C2020_A  Master's degree  First major  Grand total),Native Hawaiian or Other Pacific Islander women (C2020_A  Master's degree  First major  Grand total),White total (C2020_A  Master's degree  First major  Grand total),White men (C2020_A  Master's degree  First major  Grand total),White women (C2020_A  Master's degree  First major  Grand total),Two or more races total (C2020_A  Master's degree  First major  Grand total),Two or more races men (C2020_A  Master's degree  First major  Grand total),Two or more races women (C2020_A  Master's degree  First major  Grand total),Race/ethnicity unknown total (C2020_A  Master's degree  First major  Grand total),Race/ethnicity unknown men (C2020_A  Master's degree  First major  Grand total),Race/ethnicity unknown women (C2020_A  Master's degree  First major  Grand total),Nonresident alien total (C2020_A  Master's degree  First major  Grand total),Nonresident alien men (C2020_A  Master's degree  First major  Grand total),Nonresident alien women (C2020_A  Master's degree  First major  Grand total),Grand total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Grand total men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Grand total women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),American Indian or Alaska Native total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),American Indian or Alaska Native men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),American Indian or Alaska Native women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Asian total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Asian men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Asian women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Black or African American total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Black or African American men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Black or African American women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Hispanic or Latino total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Hispanic or Latino men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Hispanic or Latino women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Native Hawaiian or Other Pacific Islander total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Native Hawaiian or Other Pacific Islander men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Native Hawaiian or Other Pacific Islander women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),White total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),White men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),White women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Two or more races total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Two or more races men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Two or more races women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Race/ethnicity unknown total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Race/ethnicity unknown men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Race/ethnicity unknown women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Nonresident alien total (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Nonresident alien men (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Nonresident alien women (C2020_A  Doctor's degree - research/scholarship   First major  Grand total),Grand total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Grand total men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Grand total women (C2020_A  Doctor's degree - professional practice   First major  Grand total),American Indian or Alaska Native total (C2020_A  Doctor's degree - professional practice   First major  Grand total),American Indian or Alaska Native men (C2020_A  Doctor's degree - professional practice   First major  Grand total),American Indian or Alaska Native women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Asian total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Asian men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Asian women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Black or African American total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Black or African American men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Black or African American women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Hispanic or Latino total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Hispanic or Latino men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Hispanic or Latino women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Native Hawaiian or Other Pacific Islander total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Native Hawaiian or Other Pacific Islander men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Native Hawaiian or Other Pacific Islander women (C2020_A  Doctor's degree - professional practice   First major  Grand total),White total (C2020_A  Doctor's degree - professional practice   First major  Grand total),White men (C2020_A  Doctor's degree - professional practice   First major  Grand total),White women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Two or more races total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Two or more races men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Two or more races women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Race/ethnicity unknown total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Race/ethnicity unknown men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Race/ethnicity unknown women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Nonresident alien total (C2020_A  Doctor's degree - professional practice   First major  Grand total),Nonresident alien men (C2020_A  Doctor's degree - professional practice   First major  Grand total),Nonresident alien women (C2020_A  Doctor's degree - professional practice   First major  Grand total),Applicants total (ADM2020),Applicants men (ADM2020),Applicants women (ADM2020),Admissions total (ADM2020),Admissions men (ADM2020),Admissions women (ADM2020),Enrolled total (ADM2020),Enrolled  men (ADM2020),Enrolled  women (ADM2020),Enrolled full time total (ADM2020),Enrolled full time men (ADM2020),Enrolled full time women (ADM2020),Enrolled part time total (ADM2020),Enrolled part time men (ADM2020),Enrolled part time women (ADM2020),Number of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Number of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020),Full-time fall 2019 cohort (EF2020D),Exclusions from full-time fall 2019 cohort (EF2020D),Inclusions to the full-time fall 2019 cohort (EF2020D),Full-time adjusted fall 2019 cohort (EF2020D),Students from the full-time adjusted fall 2019 cohort enrolled in fall 2020 (EF2020D),Full-time retention rate  2020 (EF2020D),Part-time fall 2019 cohort (EF2020D),Exclusions from part-time fall 2019 cohort (EF2020D),Inclusions to the part-time fall 2019 cohort (EF2020D),Part-time adjusted fall 2019 cohort (EF2020D),Students from the part-time adjusted fall 2019 cohort enrolled in fall 2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Student-to-faculty ratio (EF2020D),
A Better U Beauty Barber Academy,A Better U Beauty Barber Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,6,
A T Still University of Health Sciences,A T Still University of Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,107,208,2,0,2,37,11,26,32,8,24,35,17,18,0,0,0,179,59,120,14,3,11,9,5,4,7,4,3,124,40,84,2,0,2,1,1,0,19,8,11,12,3,9,0,0,0,78,23,55,1,0,1,7,3,4,4,2,2,617,251,366,3,0,3,103,37,66,15,7,8,40,10,30,1,1,0,351,158,193,27,12,15,40,15,25,37,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaniiih Nakoda College,Aaniiih Nakoda College,32,15,17,26,15,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,10,
ABC Adult School,ABC Adult School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0,0,33,16,48,,,,,,,7,
ABC Beauty Academy,ABC Beauty Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,7,4,57,,,,,,,12,
ABCO Technology,ABCO Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
Abcott Institute,Abcott Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,22,22,,,,,,,10,
Abilene Christian University,Abilene Christian University,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,771,293,478,3,0,3,9,3,6,48,21,27,123,39,84,0,0,0,524,199,325,41,19,22,3,1,2,20,11,9,396,112,284,1,1,0,3,2,1,54,16,38,57,17,40,1,1,0,252,64,188,15,4,11,6,4,2,7,3,4,53,7,46,0,0,0,0,0,0,14,1,13,8,1,7,0,0,0,27,4,23,0,0,0,2,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10534,3855,6679,6679,2346,4333,859,313,546,853,311,542,6,2,4,432,50,369,43,510,620,500,600,21,27,20,28,18,26,902,0,0,902,690,76,25,0,0,25,16,64,13,
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,381,108,273,0,0,0,4,2,2,37,7,30,27,8,19,0,0,0,310,91,219,2,0,2,0,0,0,1,0,1,334,175,159,1,0,1,1,0,1,19,10,9,17,2,15,0,0,0,291,163,128,4,0,4,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2403,913,1490,1826,716,1110,934,372,562,825,329,496,109,43,66,321,36,232,26,460,570,440,530,16,21,14,20,16,20,533,0,0,533,395,74,27,0,0,27,13,48,19,
Abraham Lincoln University,Abraham Lincoln University,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,11,7,4,0,0,0,0,0,0,2,2,0,1,0,1,1,1,0,6,4,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,6,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,4,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,3,
Academia Serrant Inc,Academia Serrant Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,38,28,74,,,,,,,20,
Academy College,Academy College,4,2,2,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,3,3,100,0,0,0,0,0,,11,
Academy Di Capelli-School of Cosmetology,Academy Di Capelli-School of Cosmetology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,0,0,143,40,28,98,0,0,98,5,5,8,
Academy di Firenze,Academy di Firenze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,10,8,80,1,0,0,1,0,0,8,
Academy for Careers and Technology,Academy for Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,0,35,23,66,,,,,,,10,
Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,19,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,19,4,15,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Jewish Religion-California,Academy for Jewish Religion-California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,34,1,33,0,0,0,2,0,2,22,0,22,4,0,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,7,6,86,,,,,,,36,
Academy for Salon Professionals,Academy for Salon Professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,7,6,86,4,0,0,4,3,75,13,
Academy of Art University,Academy of Art University,157,52,105,0,0,0,10,5,5,13,4,9,17,8,9,1,0,1,29,7,22,8,3,5,56,20,36,23,5,18,960,412,548,1,0,1,76,38,38,34,11,23,88,51,37,8,2,6,156,74,82,17,5,12,170,80,90,410,151,259,1030,355,675,4,2,2,49,17,32,42,19,23,56,23,33,4,0,4,113,43,70,12,5,7,137,51,86,613,195,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,0,0,439,309,70,364,1,0,363,159,44,14,
Academy of Career Training,Academy of Career Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,0,19,17,89,10,0,0,10,8,80,13,
Academy of Careers and Technology,Academy of Careers and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,43,37,86,17,0,0,17,12,71,14,
