,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,instnm,Institution (entity) name (HD2020),Certificate of less than 1 year (IC2020),Certificate of less than 12 weeks (IC2020),Certificate of at least 12 weeks  but less than 1 year (IC2020),Certifiicate of at least 1 year  but less than 2 years (IC2020),Associate's degree (IC2020),Certificate of at least 2 years  but less than 4 years (IC2020),Bachelor's degree (IC2020),Postbaccalaureate certificate (IC2020),Master's degree (IC2020),Post-master's certificate (IC2020),Doctor's degree - research/scholarship (IC2020),Doctor's degree - professional practice (IC2020),Doctor's degree - other (IC2020),Other degree (IC2020),Unnamed: 16
0,0,0,0,A Better U Beauty Barber Academy,A Better U Beauty Barber Academy,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
1,1,1,1,A T Still University of Health Sciences,A T Still University of Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
2,2,2,2,Aaniiih Nakoda College,Aaniiih Nakoda College,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,3,3,3,ABC Adult School,ABC Adult School,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
4,4,4,4,ABC Beauty Academy,ABC Beauty Academy,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
5,5,5,5,ABCO Technology,ABCO Technology,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
6,6,6,6,Abcott Institute,Abcott Institute,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
7,7,7,7,Abilene Christian University,Abilene Christian University,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
8,8,8,8,Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,9,9,9,Abraham Lincoln University,Abraham Lincoln University,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
10,10,10,10,Academia Serrant Inc,Academia Serrant Inc,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
11,11,11,11,Academy College,Academy College,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,12,12,12,Academy Di Capelli-School of Cosmetology,Academy Di Capelli-School of Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
13,13,13,13,Academy di Firenze,Academy di Firenze,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
14,14,14,14,Academy for Careers and Technology,Academy for Careers and Technology,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
15,15,15,15,Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
16,16,16,16,Academy for Jewish Religion-California,Academy for Jewish Religion-California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
17,17,17,17,Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,18,18,18,Academy for Salon Professionals,Academy for Salon Professionals,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
19,19,19,19,Academy of Art University,Academy of Art University,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
20,20,20,20,Academy of Career Training,Academy of Career Training,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
21,21,21,21,Academy of Careers and Technology,Academy of Careers and Technology,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
22,22,22,22,Academy of Chinese Culture and Health Sciences,Academy of Chinese Culture and Health Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
23,23,23,23,Academy of Cosmetology,Academy of Cosmetology,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
24,24,24,24,Academy of Cosmetology and Esthetics NYC,Academy of Cosmetology and Esthetics NYC,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
25,25,25,25,Academy of Cosmetology Inc,Academy of Cosmetology Inc,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
26,26,26,26,Academy of Esthetics and Cosmetology,Academy of Esthetics and Cosmetology,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
27,27,27,27,Academy of Hair Design-Grenada,Academy of Hair Design-Grenada,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
28,28,28,28,Academy of Hair Design-Jackson,Academy of Hair Design-Jackson,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
29,29,29,29,Academy of Hair Design-Jasper,Academy of Hair Design-Jasper,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
30,30,30,30,Academy of Hair Design-Las Vegas,Academy of Hair Design-Las Vegas,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
31,31,31,31,Academy of Hair Design-Lufkin,Academy of Hair Design-Lufkin,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
32,32,32,32,Academy of Hair Design-Oklahoma City,Academy of Hair Design-Oklahoma City,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
33,33,33,33,Academy of Hair Design-Pearl,Academy of Hair Design-Pearl,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
34,34,34,34,Academy of Hair Design-Springfield,Academy of Hair Design-Springfield,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
35,35,35,35,Academy of Hair Technology,Academy of Hair Technology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
36,36,36,36,Academy of Interactive Entertainment,Academy of Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,37,37,37,Academy of Interactive Entertainment,Academy of Interactive Entertainment,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,38,38,38,Academy of Massage and Bodywork,Academy of Massage and Bodywork,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
39,39,39,39,Academy of Natural Therapy Inc,Academy of Natural Therapy Inc,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
40,40,40,40,Academy of Professional Cosmetology,Academy of Professional Cosmetology,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
41,41,41,41,Academy of Salon and Spa,Academy of Salon and Spa,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
42,42,42,42,Academy of Salon Professionals,Academy of Salon Professionals,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
43,43,43,43,Academy of Vocal Arts,Academy of Vocal Arts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,44,44,44,Acaydia School of Aesthetics,Acaydia School of Aesthetics,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
45,45,45,45,Access Careers,Access Careers,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
46,46,46,46,Access Careers-Islandia,Access Careers-Islandia,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
47,47,47,47,Ace Cosmetology and Barber Training Center,Ace Cosmetology and Barber Training Center,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
48,48,48,48,Ace Institute of Technology,Ace Institute of Technology,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,49,49,49,Acupuncture and Integrative Medicine College-Berkeley,Acupuncture and Integrative Medicine College-Berkeley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
50,50,50,50,Acupuncture and Massage College,Acupuncture and Massage College,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
51,51,51,51,Adams State University,Adams State University,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
52,52,52,52,Adelphi University,Adelphi University,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
53,53,53,53,Adler Graduate School,Adler Graduate School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
54,54,54,54,Adler University,Adler University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,
55,55,55,55,Adrian College,Adrian College,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
56,56,56,56,Adrian H. Wallace Barber Academy,Adrian H. Wallace Barber Academy,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
57,57,57,57,Adrian's College of Beauty Turlock,Adrian's College of Beauty Turlock,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
58,58,58,58,Adult and Community Education-Hudson,Adult and Community Education-Hudson,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
59,59,59,59,Adult and Continuing Education-BCTS,Adult and Continuing Education-BCTS,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
60,60,60,60,Advance Beauty College,Advance Beauty College,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
61,61,61,61,Advance Beauty Techs Academy,Advance Beauty Techs Academy,1.0,1.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,
62,62,62,62,Advance Science International College,Advance Science International College,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
