institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
A T Still University of Health Sciences,40,70,125,18,0,MO,1,2,2,2,33,2,22,34,71,20,50,431,43,0,44
Aaniiih Nakoda College,0,0,0,14,0,MT,1,1,2,1,43,1,22,34,71,3,21,14,3,3,4
Abilene Christian University,68,77,60,30,0,TX,1,2,2,2,12,3,53,64,66,20,66,318,0,5,28
Abraham Baldwin Agricultural College,26,38,47,4,27,GA,1,1,2,2,32,2,16,30,33,42,29,155,0,1,46
Abraham Lincoln University,166,182,201,56,19,CA,1,3,2,2,12,1,22,34,71,20,50,14,0,0,9
Academy College,166,182,201,56,19,MN,1,3,2,2,13,1,22,34,71,20,50,8,0,0,0
Academy for Five Element Acupuncture,166,182,201,56,19,FL,1,2,2,2,12,1,22,34,71,20,50,0,0,1,0
Academy for Jewish Religion-California,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,1,0,0,0
Academy of Art University,0,0,0,0,0,CA,1,3,2,2,11,3,7,35,45,17,47,402,0,0,170
Academy of Chinese Culture and Health Sciences,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,9,0,6,0
Acupuncture and Massage College,166,182,201,56,19,FL,1,3,2,2,13,1,0,0,0,20,77,11,0,0,0
Adams State University,18,10,16,0,0,CO,1,1,2,2,33,2,14,28,31,22,32,136,0,0,47
Adelphi University,95,130,63,8,19,NY,1,2,2,2,21,3,62,71,72,21,73,563,0,0,69
Adler Graduate School,0,0,0,14,0,MN,1,2,2,2,13,1,22,34,71,20,50,26,0,0,0
Adler University,14,16,23,1,0,IL,1,2,2,2,11,2,22,34,71,20,50,65,0,0,16
Adrian College,34,23,27,3,0,MI,1,2,2,2,32,2,51,53,53,3,54,126,0,0,5
AdventHealth University,12,27,40,16,0,FL,1,2,2,2,11,2,15,24,36,48,35,152,1,0,17
Agnes Scott College,40,20,14,12,0,GA,1,2,2,2,21,2,68,72,72,20,72,100,1,0,30
AI Miami International University of Art and Design,0,0,0,11,0,FL,1,3,2,2,11,1,21,21,21,20,25,42,0,0,5
Air Force Institute of Technology-Graduate School of Engineering & Management,166,182,201,56,19,OH,1,1,2,2,21,2,22,34,71,20,50,-149,-5,74,60
Alabama A & M University,52,46,94,40,0,AL,1,1,1,2,12,3,11,23,29,24,29,290,9,0,2
